Noise,True_V,Primary_V,Winner,Rg_meas,Yg100,Yg210,Ym210,V_all
-597.0505701832946,0.08888954342180844,0.016107739288887746,Unique_Solution,7.693445118999955,551.945007526187,-621.3730117144236,3624.1267096604374,[0.016107739288887746]
-597.0505701832946,0.09183154567306907,,Nearest_Fallback,7.776727635288207,734.6713311739444,372.001104096694,3765.771821662919,[nan]
-597.0505701832946,0.09482144466296805,0.03412218843859013,Unique_Solution,7.859913770520209,596.5234792582565,-307.86331788170963,3494.125110236432,[0.03412218843859013]
-597.0505701832946,0.0978592403915054,,Nearest_Fallback,7.947266523797814,725.3524752176269,281.5277728402588,2745.7368383481194,[nan]
-597.0505701832946,0.10094493285868106,0.02544640341846116,Unique_Solution,8.030664330740947,577.5442595217518,-423.18004532058825,2733.714878744651,[0.02544640341846116]
-597.0505701832946,0.10407852206449512,0.028049095418193202,Unique_Solution,8.128152826134441,583.5224757472286,-410.85018715528145,3896.4216998980683,[0.028049095418193202]
-597.0505701832946,0.10726000800894753,,Nearest_Fallback,8.209682815187819,710.5124431688321,286.4089561366025,3096.3480400506296,[nan]
-597.0505701832946,0.11048939069203828,,Nearest_Fallback,8.313279024999726,700.6193416137329,44.5561694002368,689.7623014875495,[nan]
-597.0505701832946,0.1137666701137674,0.22976593474151089,Consensus_Selection,8.386357417735384,643.9408370582806,-146.55010475808464,3668.115661178759,"[0.22976593474151089, 0.07558231424310101]"
-597.0505701832946,0.11709184627413487,,Nearest_Fallback,8.493533518731747,737.1087628931995,287.68642086763776,4894.804689239668,[nan]
-597.0505701832946,0.12046491917314069,,Nearest_Fallback,8.580747852847006,737.1415211628081,162.939306021952,3395.8290766914483,[nan]
-597.0505701832946,0.12388588881078477,0.04577042770314774,Unique_Solution,8.679564945148453,617.3483220131449,-304.78876050392756,3901.354327615636,[0.04577042770314774]
-597.0505701832946,0.12735475518706738,,Nearest_Fallback,8.778013755324876,728.9361751377011,254.33917627250898,1069.0706644608501,[nan]
-597.0505701832946,0.13087151830198818,,Nearest_Fallback,8.871462598316516,725.7792299001892,300.5566128774592,2289.9313366180713,[nan]
-597.0505701832946,0.1344361781555474,0.03807346168331709,Unique_Solution,8.972815921426342,605.2903330371015,-451.8757601059139,-1258.4217535670805,[0.03807346168331709]
-597.0505701832946,0.13804873474774498,0.19874142410013867,Consensus_Selection,9.065174229666132,651.5264013023111,-198.36726510378114,3209.357567768582,"[0.19874142410013867, 0.08630809584894075]"
-597.0505701832946,0.1417091880785809,0.042279782606232566,Unique_Solution,9.173468305264295,612.3514817638738,-307.06751612521686,3180.940082226657,[0.042279782606232566]
-597.0505701832946,0.1454175381480552,0.06702688156731541,Consensus_Selection,9.270051192190596,641.0761205942945,-47.74481694376138,7965.363014318569,"[0.06702688156731541, 0.2559687779652925]"
-597.0505701832946,0.14917378495616782,0.29418172114381014,Consensus_Selection,9.371710016386047,633.8391841790964,-142.69118491395233,4076.89727070837,"[0.29418172114381014, 0.05946454005314706]"
-597.0505701832946,0.1529779285029188,0.28417791938421877,Consensus_Selection,9.471120457634822,636.0750861031013,-172.3557605958388,696.4374891804556,"[0.28417791938421877, 0.061535014952547436]"
-597.0505701832946,0.15682996878830807,0.2518328112923548,Consensus_Selection,9.579041030217342,642.7508383295128,-205.93626939244615,3007.513267129854,"[0.2518328112923548, 0.06858703752617959]"
-597.0505701832946,0.16072990581233576,0.2131630229404786,Consensus_Selection,9.693049829479513,650.5587994689059,-99.73952485924988,3935.6491781048517,"[0.2131630229404786, 0.08164811885290865]"
-597.0505701832946,0.1646777395750018,,Nearest_Fallback,9.793134834303572,706.5399795305583,137.6394647286066,4849.70545963773,[nan]
-597.0505701832946,0.1686734700763062,0.2791449251323952,Consensus_Selection,9.914270850552391,638.3463477745464,-182.40969561938812,3470.9141730897204,"[0.2791449251323952, 0.06268680925226723]"
-597.0505701832946,0.17271709731624887,,Nearest_Fallback,10.01790719834434,688.8983758226877,70.47240365711589,-398.49281498062976,[nan]
-597.0505701832946,0.17680862129483005,0.22518806626446836,Consensus_Selection,10.135431114999564,649.5963874195334,-69.2798127599044,2937.722749012434,"[0.22518806626446836, 0.07828132273321174]"
-597.0505701832946,0.1809480420120495,0.09474913033734345,Nearest_Fallback,10.248386337295582,668.859324664939,-54.434208607292206,6137.371275628931,[0.09474913033734345]
-597.0505701832946,0.1851353594679072,0.29384465415175115,Consensus_Selection,10.357384347025588,636.7508972926566,-166.94224664599628,1721.6092579597696,"[0.29384465415175115, 0.06001206728949502]"
-597.0505701832946,0.1893705736624034,0.13377780552582985,Nearest_Fallback,10.47268548291145,665.8003913318762,-14.885444572654226,2824.5607923915654,[0.13377780552582985]
-597.0505701832946,0.1936536845955379,,Nearest_Fallback,10.606748571317267,708.410826122701,105.75997135844213,-2133.892160042976,[nan]
-597.0505701832946,0.19798469226731075,0.20561970440274002,Consensus_Selection,10.715981526043407,654.9366475327475,-141.70779770309073,5273.750581903041,"[0.20561970440274002, 0.08594341702766968]"
-597.0505701832946,0.20236359667772197,0.25200289962425537,Consensus_Selection,10.837747500585841,646.4632708903728,-145.12421135701942,-7718.960470997299,"[0.25200289962425537, 0.07076982863659127]"
-597.0505701832946,0.20679039782677155,0.26750672029978,Consensus_Selection,10.9595484630198,643.7676605899442,-135.06226837057588,5097.03147707183,"[0.26750672029978, 0.06564573920597067]"
-597.0505701832946,0.21126509571445948,0.10455083625977127,Consensus_Selection,11.090031066547443,661.7318030842308,-28.200139973409346,711.7877563516264,"[0.10455083625977127, 0.1694730316361076]"
-597.0505701832946,0.21578769034078563,0.22521895246842885,Consensus_Selection,11.226652036546028,652.8957912845045,-98.29004442920954,35570.42099693248,"[0.22521895246842885, 0.08004936001325048]"
-597.0505701832946,0.22035818170575036,0.3524186054752543,Consensus_Selection,11.306486512514239,628.8574791726558,-228.18970924783898,5378.752050405071,"[0.3524186054752543, 0.050293986568680595]"
-597.0505701832946,0.22497656980935324,0.2541661584948177,Consensus_Selection,11.43673244018086,647.8945929527428,-102.34436801026425,2365.1568170485975,"[0.2541661584948177, 0.07029096837092084]"
